CodeID,CPTCode,Description
146,75705,"Angiography, spinal, selective, radiological supervision and interpretation"
147,75726,"Angiography, visceral, selective or supraselective (with or without flush aortogram), radiological supervision and interpretation"
148,35400,Angioscopy (noncoronary vessels or grafts) during therapeutic intervention (List separately in addition to code for primary procedure)
149,82164,Angiotensin I - converting enzyme (ACE)
150,82163,Angiotensin II
151,L4350,"Ankle control orthosis, stirrup style, rigid, includes any type interface (e.g., pneumatic, gel), prefabricated, off-the-shelf"
152,L2114,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, semi-rigid, prefabricated, includes fitting and adjustment"
153,L1930,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment"
154,L1960,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated"
155,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit"
156,G0438,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit"
157,99170,"Anogenital examination, magnified, in childhood for suspected trauma, including image recording when performed"
158,91122,Anorectal manometry
159,46600,"Anoscopy; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"
160,46608,Anoscopy; with removal of foreign body
161,V2630,Anterior chamber intraocular lens
162,57240,"Anterior colporrhaphy, repair of cystocele with or without repair of urethrocele, including cystourethroscopy, when performed"
163,22845,Anterior instrumentation; 2 to 3 vertebral segments (List separately in addition to code for primary procedure)
164,82166,Anti-mullerian hormone (AMH)
165,86148,Anti-phosphatidylserine (phospholipid) antibody
166,86860,"Antibody elution (RBC), each elution"
167,86870,"Antibody identification, RBC antibodies, each panel for each serum technique"
168,86021,Antibody identification; leukocyte antibodies
169,86022,Antibody identification; platelet antibodies
170,86023,Antibody identification; platelet associated immunoglobulin assay
171,86850,"Antibody screen, RBC, each serum technique"
172,86831,"Antibody to human leukocyte antigens (HLA), solid phase assays (eg, microspheres or beads, ELISA, Flow cytometry); antibody identification by qualitative panel using complete HLA phenotypes, HLA Class II"
173,86832,"Antibody to human leukocyte antigens (HLA), solid phase assays (eg, microspheres or beads, ELISA, Flow cytometry); high definition qualitative panel for identification of antibody specificities (eg, individual antigen per bead methodology), HLA Class I"
174,86833,"Antibody to human leukocyte antigens (HLA), solid phase assays (eg, microspheres or beads, ELISA, Flow cytometry); high definition qualitative panel for identification of antibody specificities (eg, individual antigen per bead methodology), HLA Class II"
175,86829,"Antibody to human leukocyte antigens (HLA), solid phase assays (eg, microspheres or beads, ELISA, Flow cytometry); qualitative assessment of the presence or absence of antibody(ies) to HLA Class I or Class II HLA antigens"
176,86828,"Antibody to human leukocyte antigens (HLA), solid phase assays (eg, microspheres or beads, ELISA, flow cytometry); qualitative assessment of the presence or absence of antibody(ies) to HLA Class I and Class II HLA antigens"
177,0064U,"Antibody, Treponema pallidum, total and rapid plasma reagin (RPR), immunoassay, qualitative"
178,86606,Antibody; Aspergillus
179,86611,Antibody; Bartonella
180,86612,Antibody; Blastomyces
181,86615,Antibody; Bordetella
182,86619,Antibody; Borrelia (relapsing fever)
183,86618,Antibody; Borrelia burgdorferi (Lyme disease)
184,86617,"Antibody; Borrelia burgdorferi (Lyme disease) confirmatory test (eg, Western Blot or immunoblot)"
185,86622,Antibody; Brucella
186,86625,Antibody; Campylobacter
187,86628,Antibody; Candida
188,86631,Antibody; Chlamydia
189,86632,"Antibody; Chlamydia, IgM"
190,86635,Antibody; Coccidioides
191,86638,Antibody; Coxiella burnetii (Q fever)
192,86641,Antibody; Cryptococcus
193,86648,Antibody; Diphtheria
194,86666,Antibody; Ehrlichia
195,86663,"Antibody; Epstein-Barr (EB) virus, early antigen (EA)"
196,86664,"Antibody; Epstein-Barr (EB) virus, nuclear antigen (EBNA)"
197,86665,"Antibody; Epstein-Barr (EB) virus, viral capsid (VCA)"
198,86668,Antibody; Francisella tularensis
199,86674,Antibody; Giardia lamblia
200,86701,Antibody; HIV-1
201,86703,"Antibody; HIV-1 and HIV-2, single result"
202,86702,Antibody; HIV-2
203,86689,"Antibody; HTLV or HIV antibody, confirmatory test (eg, Western Blot)"
204,86687,Antibody; HTLV-I
205,86688,Antibody; HTLV-II
206,86684,Antibody; Haemophilus influenza
207,86677,Antibody; Helicobacter pylori
208,86711,Antibody; JC (John Cunningham) virus
209,86713,Antibody; Legionella
210,86717,Antibody; Leishmania
211,86720,Antibody; Leptospira
212,86723,Antibody; Listeria monocytogenes
213,86741,Antibody; Neisseria meningitidis
214,86750,Antibody; Plasmodium (malaria)
215,86757,Antibody; Rickettsia
216,86768,Antibody; Salmonella
217,86771,Antibody; Shigella
218,86777,Antibody; Toxoplasma
219,86778,"Antibody; Toxoplasma, IgM"
220,86780,Antibody; Treponema pallidum
221,86784,Antibody; Trichinella
222,86789,Antibody; West Nile virus
223,86788,"Antibody; West Nile virus, IgM"
224,86793,Antibody; Yersinia
225,86794,"Antibody; Zika virus, IgM"
226,86602,Antibody; actinomyces
227,86603,Antibody; adenovirus
228,86609,"Antibody; bacterium, not elsewhere specified"
229,86644,Antibody; cytomegalovirus (CMV)
230,86645,"Antibody; cytomegalovirus (CMV), IgM"
231,86651,"Antibody; encephalitis, California (La Crosse)"
232,86652,"Antibody; encephalitis, Eastern equine"
233,86653,"Antibody; encephalitis, St. Louis"
234,86654,"Antibody; encephalitis, Western equine"
235,86658,"Antibody; enterovirus (eg, coxsackie, echo, polio)"
236,86671,"Antibody; fungus, not elsewhere specified"
237,86682,"Antibody; helminth, not elsewhere specified"
238,86692,"Antibody; hepatitis, delta agent"
239,86694,"Antibody; herpes simplex, non-specific type test"
240,86695,"Antibody; herpes simplex, type 1"
241,86696,"Antibody; herpes simplex, type 2"
242,86698,Antibody; histoplasma
243,86710,Antibody; influenza virus
244,86727,Antibody; lymphocytic choriomeningitis
245,86735,Antibody; mumps
246,86738,Antibody; mycoplasma
247,86747,Antibody; parvovirus
248,86753,"Antibody; protozoa, not elsewhere specified"
249,86756,Antibody; respiratory syncytial virus
250,86759,Antibody; rotavirus
251,86762,Antibody; rubella
252,86765,Antibody; rubeola
253,86769,Antibody; severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (Coronavirus disease [COVID-19])
254,86774,Antibody; tetanus
255,86787,Antibody; varicella-zoster
256,86790,"Antibody; virus, not elsewhere specified"
257,80338,"Antidepressants, not otherwise specified"
258,80332,"Antidepressants, serotonergic class; 1 or 2"
259,80335,"Antidepressants, tricyclic and other cyclicals; 1 or 2"
260,80339,"Antiepileptics, not otherwise specified; 1-3"
261,86880,"Antihuman globulin test (Coombs test); direct, each antiserum"
262,86886,"Antihuman globulin test (Coombs test); indirect, each antibody titer"
263,86036,"Antineutrophil cytoplasmic antibody (ANCA); screen, each antibody"
264,86037,"Antineutrophil cytoplasmic antibody (ANCA); titer, each antibody"
265,86038,Antinuclear antibodies (ANA)
266,86039,Antinuclear antibodies (ANA); titer
267,80342,"Antipsychotics, not otherwise specified; 1-3"
268,86063,Antistreptolysin 0; screen
269,86060,Antistreptolysin 0; titer
270,81411,"Aortic dysfunction or dilation (eg, Marfan syndrome, Loeys Dietz syndrome, Ehler Danlos syndrome type IV, arterial tortuosity syndrome); duplication/deletion analysis panel, must include analyses for TGFBR1, TGFBR2, MYH11, and COL3A1"
271,81410,"Aortic dysfunction or dilation (eg, Marfan syndrome, Loeys Dietz syndrome, Ehler Danlos syndrome type IV, arterial tortuosity syndrome); genomic sequence analysis panel, must include sequencing of at least 9 genes, including FBN1, TGFBR1, TGFBR2, COL3A1, MYH11, ACTA2, SLC2A10, SMAD3, and MYLK"
272,75630,"Aortography, abdominal plus bilateral iliofemoral lower extremity, catheter, by serialography, radiological supervision and interpretation"
273,75625,"Aortography, abdominal, by serialography, radiological supervision and interpretation"
274,75605,"Aortography, thoracic, by serialography, radiological supervision and interpretation"
275,75600,"Aortography, thoracic, without serialography, radiological supervision and interpretation"
276,Q4101,"Apligraf, per square centimeter"
277,82172,"Apolipoprotein, each"
278,97036,"Application of a modality to 1 or more areas; Hubbard tank, each 15 minutes"
279,97034,"Application of a modality to 1 or more areas; contrast baths, each 15 minutes"
280,97024,"Application of a modality to 1 or more areas; diathermy (eg, microwave)"
281,97032,"Application of a modality to 1 or more areas; electrical stimulation (manual), each 15 minutes"
282,97014,Application of a modality to 1 or more areas; electrical stimulation (unattended)
283,97010,Application of a modality to 1 or more areas; hot or cold packs
284,97026,Application of a modality to 1 or more areas; infrared
285,97033,"Application of a modality to 1 or more areas; iontophoresis, each 15 minutes"
286,97018,Application of a modality to 1 or more areas; paraffin bath
287,97012,"Application of a modality to 1 or more areas; traction, mechanical"
288,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes"
289,97016,Application of a modality to 1 or more areas; vasopneumatic devices
290,97022,Application of a modality to 1 or more areas; whirlpool
291,20692,"Application of a multiplane (pins or wires in more than 1 plane), unilateral, external fixation system (eg, Ilizarov, Monticelli type)"
292,20690,"Application of a uniplane (pins or wires in 1 plane), unilateral, external fixation system"
293,20660,"Application of cranial tongs, caliper, or stereotactic frame, including removal (separate procedure)"
294,29365,Application of cylinder cast (thigh to ankle)
295,29131,Application of finger splint; dynamic
296,29130,Application of finger splint; static
297,20661,"Application of halo, including removal; cranial"
298,21110,"Application of interdental fixation device for conditions other than fracture or dislocation, includes removal"
299,29105,Application of long arm splint (shoulder to hand)
300,29345,Application of long leg cast (thigh to toes)
301,29505,Application of long leg splint (thigh to ankle or toes)
302,C5278,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)"
303,C5277,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
304,C5276,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)"
305,C5275,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
306,C5274,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)"
307,C5273,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
308,C5272,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)"
309,C5271,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
310,29581,"Application of multi-layer compression system; leg (below knee), including ankle and foot"
311,29584,"Application of multi-layer compression system; upper arm, forearm, hand, and fingers"
312,96377,Application of on-body injector (includes cannula insertion) for timed subcutaneous injection
313,29445,Application of rigid total contact leg cast
314,29126,Application of short arm splint (forearm to hand); dynamic
315,29125,Application of short arm splint (forearm to hand); static
316,29405,Application of short leg cast (below knee to toes)
317,29425,Application of short leg cast (below knee to toes); walking or ambulatory type
318,29515,Application of short leg splint (calf to foot)
319,15278,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
320,15277,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
321,15276,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)"
322,15275,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
323,15274,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
324,15273,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
325,15272,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)"
326,15271,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
327,61800,Application of stereotactic headframe for stereotactic radiosurgery (List separately in addition to code for primary procedure)
328,29075,"Application, cast; elbow to finger (short arm)"
329,29085,"Application, cast; hand and lower forearm (gauntlet)"
330,29055,"Application, cast; shoulder spica"
331,29065,"Application, cast; shoulder to hand (long arm)"
332,86052,"Aquaporin-4 (neuromyelitis optica [NMO]) antibody; cell-based immunofluorescence assay (CBA), each"
333,86051,Aquaporin-4 (neuromyelitis optica [NMO]) antibody; enzyme-linked immunosorbent immunoassay (ELISA)
334,86053,"Aquaporin-4 (neuromyelitis optica [NMO]) antibody; flow cytometry (ie, fluorescence-activated cell sorting [FACS]), each"
335,L8612,Aqueous shunt
336,82175,Arsenic
337,36640,"Arterial catheterization for prolonged infusion therapy (chemotherapy), cutdown"
338,36620,"Arterial catheterization or cannulation for sampling, monitoring or transfusion (separate procedure); percutaneous"
339,36600,"Arterial puncture, withdrawal of blood for diagnosis"
340,36819,"Arteriovenous anastomosis, open; by upper arm basilic vein transposition"
341,36818,"Arteriovenous anastomosis, open; by upper arm cephalic vein transposition"
342,36821,"Arteriovenous anastomosis, open; direct, any site (eg, Cimino type) (separate procedure)"
343,20606,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); with ultrasound guidance, with permanent recording and reporting"
344,20605,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance"
345,20611,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); with ultrasound guidance, with permanent recording and reporting"
346,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance"
347,20604,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); with ultrasound guidance, with permanent recording and reporting"
348,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance"
349,22554,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); cervical below C2"
350,22585,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); each additional interspace (List separately in addition to code for primary procedure)"
351,22551,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2"
352,28750,"Arthrodesis, great toe; metatarsophalangeal joint"
353,28730,"Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse"
354,27279,"Arthrodesis, sacroiliac joint, percutaneous or minimally invasive (indirect visualization), with image guidance, includes obtaining bone graft when performed, and placement of transfixing device"
355,28725,Arthrodesis; subtalar
356,27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft"
357,23472,"Arthroplasty, glenohumeral joint; total shoulder (glenoid and proximal humeral replacement (eg, total shoulder))"
358,26535,"Arthroplasty, interphalangeal joint; each joint"
359,25447,"Arthroplasty, interposition, intercarpal or carpometacarpal joints"
